frame_id,time,image_file,x,y,z,roll,pitch,yaw,rollRate,pitchRate,yawRate,ax,ay,az,throttle,brake,steer,gear
1,0.000000,frame_000001.png,385.684784,-187.945694,0.048701,0.000000,0.000000,90.598579,0.000032,-0.000023,-0.000000,0.000000,0.000000,0.450089,1.000000,0.000000,0.000000,0
2,0.300000,frame_000002.png,385.684784,-187.945694,-0.053206,0.000000,0.000000,90.598579,0.000001,-0.000002,-0.000000,0.000000,0.000000,24.169228,0.000000,1.000000,0.000000,0
3,0.400000,frame_000003.png,385.684784,-187.945694,-0.048914,0.000000,0.000000,90.598579,-0.000001,0.000000,-0.000000,0.000000,0.000000,20.429853,1.000000,0.000000,0.000000,0
4,0.500000,frame_000004.png,385.684784,-187.945694,-0.029650,0.000000,0.000000,90.598579,-0.000001,0.000000,0.000000,0.000000,0.000000,11.307218,1.000000,0.000000,0.000000,0
5,0.600000,frame_000005.png,385.684784,-187.945694,-0.015134,0.000000,0.000000,90.598579,0.000000,0.000000,0.000000,0.000000,0.000000,9.335274,1.000000,0.000000,0.000000,0
6,0.700000,frame_000006.png,385.684784,-187.945694,-0.006692,0.000000,0.000000,90.598579,-0.000001,0.000000,0.000000,0.000000,0.000000,9.202471,0.000000,0.000000,0.000000,0
7,0.800000,frame_000007.png,385.684784,-187.945694,-0.002300,0.000000,0.000000,90.598579,-0.000001,0.000000,0.000000,0.000000,0.000000,9.405079,0.000000,0.000000,0.000000,0
8,0.900000,frame_000008.png,385.684784,-187.945694,-0.000154,0.000000,0.000000,90.598579,0.000000,-0.000000,-0.000000,0.000000,0.000000,9.585460,0.000000,0.000000,0.000000,0
9,1.000000,frame_000009.png,385.684784,-187.945694,0.000854,0.000000,0.000000,90.598579,0.000001,-0.000000,-0.000000,0.000000,0.000000,9.696114,1.000000,0.000000,0.000000,0
10,1.100000,frame_000010.png,385.684784,-187.945694,0.001314,0.000000,0.000000,90.598579,-0.000002,-0.000001,-0.000000,0.000000,0.000000,9.755205,0.000000,0.000000,0.000000,0
11,1.200000,frame_000011.png,385.684753,-187.942963,0.001387,-0.000061,0.003962,90.598396,0.000002,-0.006944,-0.000085,0.265661,-0.002757,9.774006,1.000000,0.000000,0.000000,0
12,1.300000,frame_000012.png,385.683624,-187.833725,0.001137,-0.000061,0.065973,90.598465,0.000002,-0.008241,0.000336,10.540648,0.002532,9.806132,1.000000,0.000000,0.000000,1
13,1.400000,frame_000013.png,385.681366,-187.616837,0.001058,-0.000061,0.092160,90.598572,-0.000000,-0.000553,0.000059,10.856361,0.001761,9.784573,0.000000,0.000000,0.000000,1
14,1.500000,frame_000014.png,385.678619,-187.352676,0.001192,-0.000061,0.076239,90.598572,-0.000001,0.004647,-0.000001,4.829494,-0.005306,9.795624,0.000000,0.000000,0.000000,1
15,1.600000,frame_000015.png,385.675903,-187.080078,0.001380,-0.000061,0.047729,90.598572,-0.000000,0.004175,-0.000000,0.878121,-0.009078,9.805894,1.000000,0.000000,0.000000,1
16,1.700000,frame_000016.png,385.672913,-186.798370,0.001481,-0.000061,0.032184,90.598572,-0.000001,0.002194,-0.000001,0.886973,0.015803,9.809826,0.000000,0.000000,0.000000,1
17,1.800000,frame_000017.png,385.669800,-186.512558,0.001560,-0.000061,0.019582,90.598579,-0.000001,0.001615,-0.000000,0.410987,0.010753,9.809655,1.000000,0.000000,0.000000,1
18,1.900000,frame_000018.png,385.666656,-186.218964,0.001585,-0.000061,0.015627,90.598579,0.000000,0.000618,-0.000000,0.761384,-0.007916,9.810487,0.000000,0.000000,0.000000,1
19,2.000000,frame_000019.png,385.663544,-185.922028,0.001619,-0.000061,0.010102,90.598579,-0.000002,0.000650,-0.000000,0.339211,-0.003515,9.809658,1.000000,0.000000,0.000000,1
20,2.100000,frame_000020.png,385.660431,-185.617737,0.001619,-0.000061,0.010102,90.598579,-0.000000,0.000120,-0.000001,0.726690,-0.007564,9.810410,0.000000,0.000000,0.000000,1
21,2.200000,frame_000021.png,385.657288,-185.310501,0.001638,-0.000061,0.006912,90.598579,0.000002,0.000333,-0.000000,0.299917,-0.003111,9.809623,1.000000,0.000000,0.000000,1
22,2.300000,frame_000022.png,385.653961,-184.989822,0.001597,-0.000061,0.013886,90.598579,-0.000001,-0.002576,-0.000004,1.328764,0.006154,9.810781,1.000000,0.000000,0.000000,1
23,2.400000,frame_000023.png,385.650177,-184.627457,0.001499,-0.000061,0.030620,90.598572,0.000000,-0.001757,-0.000003,4.150512,0.004206,9.808858,0.000000,0.000000,0.000000,1
24,2.500000,frame_000024.png,385.646210,-184.239487,0.001504,-0.000061,0.029780,90.598572,0.000002,0.000866,-0.000001,2.605138,-0.009653,9.806695,1.000000,0.000000,0.000000,1
25,2.600000,frame_000025.png,385.641907,-183.830276,0.001496,-0.000061,0.031071,90.598572,0.000000,-0.001417,-0.000004,2.124293,0.010374,9.809114,1.000000,0.000000,0.000000,1
26,2.700000,frame_000026.png,385.637207,-183.379501,0.001444,-0.000061,0.039943,90.598572,0.000000,-0.000589,-0.000004,4.145754,-0.005729,9.807903,0.000000,0.000000,0.000000,1
27,2.800000,frame_000027.png,385.632141,-182.905151,0.001479,-0.000061,0.033960,90.598572,0.000000,0.001535,-0.000001,2.396100,0.015040,9.806970,0.846108,0.000000,0.000000,1
28,2.900000,frame_000028.png,385.627014,-182.411865,0.001619,-0.000061,0.032054,90.598572,0.000001,-0.001110,-0.000004,1.889194,-0.014669,9.822294,1.000000,0.000000,0.000000,1
29,3.000000,frame_000029.png,385.621552,-181.887421,0.001817,-0.000061,0.031897,90.598572,0.000001,0.001429,-0.000003,3.121910,0.002454,9.815178,0.832473,0.000000,0.000000,1
30,3.100000,frame_000030.png,385.615967,-181.347855,0.001796,-0.000061,0.029008,90.598572,-0.000000,-0.001002,-0.000005,1.519976,-0.005817,9.785512,0.887655,0.000000,0.000000,1
31,3.200000,frame_000031.png,385.609985,-180.774689,0.001705,-0.000061,0.035708,90.598541,0.000001,-0.001432,-0.000011,3.347598,0.005105,9.807603,0.685584,0.000000,0.000000,1
32,3.300000,frame_000032.png,385.603699,-180.167725,0.001661,-0.000061,0.037409,90.598503,-0.000000,0.000474,-0.000001,3.394059,-0.002876,9.809066,0.247434,0.000000,0.000000,1
33,3.400000,frame_000033.png,385.597076,-179.544495,0.001694,-0.000061,0.028694,90.598473,0.000001,0.001582,-0.000004,1.655188,0.017774,9.809525,0.269961,0.000000,0.000000,1
34,3.500000,frame_000034.png,385.590424,-178.915588,0.001739,-0.000061,0.019391,90.598473,-0.000001,0.000837,-0.000002,0.572013,-0.008430,9.810637,0.538598,0.000000,0.000000,1
35,3.600000,frame_000035.png,385.583771,-178.277802,0.001751,-0.000061,0.016652,90.598473,-0.000001,-0.000282,-0.000003,0.876580,-0.006616,9.810948,0.575379,0.000000,0.000000,1
36,3.700000,frame_000036.png,385.577057,-177.626617,0.001749,-0.000061,0.016652,90.598473,0.000001,-0.000093,-0.000003,1.337857,-0.006434,9.810169,0.379010,0.000000,0.000000,1
37,3.800000,frame_000037.png,385.570038,-176.966721,0.001766,-0.000061,0.013517,90.598473,-0.000001,0.000484,-0.000001,0.880080,0.020843,9.809510,0.290449,0.000000,0.000000,1
